node_type,x(m),y(m),RSSI,SINR,obss/pd,throughput
1,57.2067,44.5565,-55.75,39.25,-66,88.15
0,52.958,39.7185,20,10000,-67,88.15
1,57.2067,44.5565,-55.75,39.25,-67,88.15
0,52.958,39.7185,20,10000,-68,88.15
1,57.2067,44.5565,-55.75,39.25,-68,88.15
0,52.958,39.7185,20,10000,-69,88.15
1,57.2067,44.5565,-55.75,39.25,-69,88.15
0,52.958,39.7185,20,10000,-70,88.15
1,57.2067,44.5565,-55.75,39.25,-70,88.15
0,52.958,39.7185,20,10000,-71,88.15
1,57.2067,44.5565,-55.75,39.25,-71,88.15
0,52.958,39.7185,20,10000,-72,88.15
1,57.2067,44.5565,-55.75,39.25,-72,88.15
0,52.958,39.7185,20,10000,-73,88.15
1,57.2067,44.5565,-55.75,39.25,-73,88.15
0,52.958,39.7185,20,10000,-74,88.15
1,57.2067,44.5565,-55.75,39.25,-74,88.15
0,52.958,39.7185,20,10000,-75,88.15
1,57.2067,44.5565,-55.75,39.25,-75,88.15
0,52.958,39.7185,20,10000,-76,88.15
1,57.2067,44.5565,-55.75,39.25,-76,88.15
0,52.958,39.7185,20,10000,-77,88.15
1,57.2067,44.5565,-55.75,39.25,-77,88.15
0,52.958,39.7185,20,10000,-78,88.15
1,57.2067,44.5565,-55.75,39.25,-78,88.15
0,52.958,39.7185,20,10000,-79,88.15
1,57.2067,44.5565,-55.75,39.25,-79,88.15
0,52.958,39.7185,20,10000,-80,88.15
1,57.2067,44.5565,-55.75,39.25,-80,88.15
0,52.958,39.7185,20,10000,-81,88.15
1,57.2067,44.5565,-55.75,39.25,-81,88.15
0,52.958,39.7185,20,10000,-82,88.15
1,57.2067,44.5565,-55.75,39.25,-82,88.15
0,5.8007,4.3506,20,10000,-62,88.15
1,-0.6428,5.7353,-56.07,38.93,-62,88.15
0,5.8007,4.3506,20,10000,-63,88.15
1,-0.6428,5.7353,-56.07,38.93,-63,88.15
0,5.8007,4.3506,20,10000,-64,88.15
1,-0.6428,5.7353,-56.07,38.93,-64,88.15
0,5.8007,4.3506,20,10000,-65,88.15
1,-0.6428,5.7353,-56.07,38.93,-65,88.15
0,5.8007,4.3506,20,10000,-66,88.15
1,-0.6428,5.7353,-56.07,38.93,-66,88.15
0,5.8007,4.3506,20,10000,-67,88.15
1,-0.6428,5.7353,-56.07,38.93,-67,88.15
0,5.8007,4.3506,20,10000,-68,88.15
1,-0.6428,5.7353,-56.07,38.93,-68,88.15
0,5.8007,4.3506,20,10000,-69,88.15
1,-0.6428,5.7353,-56.07,38.93,-69,88.15
0,5.8007,4.3506,20,10000,-70,88.15
1,-0.6428,5.7353,-56.07,38.93,-70,88.15
0,5.8007,4.3506,20,10000,-71,88.15
1,-0.6428,5.7353,-56.07,38.93,-71,88.15
0,5.8007,4.3506,20,10000,-72,88.15
1,-0.6428,5.7353,-56.07,38.93,-72,88.15
0,5.8007,4.3506,20,10000,-73,88.15
1,-0.6428,5.7353,-56.07,38.93,-73,88.15
0,5.8007,4.3506,20,10000,-74,88.15
1,-0.6428,5.7353,-56.07,38.93,-74,88.15
0,5.8007,4.3506,20,10000,-75,88.15
1,-0.6428,5.7353,-56.07,38.93,-75,88.15
0,5.8007,4.3506,20,10000,-76,88.15
1,-0.6428,5.7353,-56.07,38.93,-76,88.15
0,5.8007,4.3506,20,10000,-77,88.15
1,-0.6428,5.7353,-56.07,38.93,-77,88.15
0,5.8007,4.3506,20,10000,-78,88.15
1,-0.6428,5.7353,-56.07,38.93,-78,88.15
0,5.8007,4.3506,20,10000,-79,88.15
1,-0.6428,5.7353,-56.07,38.93,-79,88.15
0,5.8007,4.3506,20,10000,-80,88.15
1,-0.6428,5.7353,-56.07,38.93,-80,88.15
0,5.8007,4.3506,20,10000,-81,88.15
1,-0.6428,5.7353,-56.07,38.93,-81,88.15
0,5.8007,4.3506,20,10000,-82,88.15
1,-0.6428,5.7353,-56.07,38.93,-82,88.15
0,27.2402,20.4301,20,10000,-62,47.07
1,27.5963,28.7738,-59.55,30.1,-62,47.07
0,27.2402,20.4301,20,10000,-63,47.07
1,27.5963,28.7738,-59.55,30.1,-63,47.07
0,27.2402,20.4301,20,10000,-64,47.69
1,27.5963,28.7738,-59.55,30.11,-64,47.69
0,27.2402,20.4301,20,10000,-65,29.35
1,27.5963,28.7738,-75.55,26.77,-65,29.35
0,27.2402,20.4301,20,10000,-66,29.35
1,27.5963,28.7738,-74.55,26.8,-66,29.35
0,27.2402,20.4301,20,10000,-67,34.35
1,27.5963,28.7738,-73.55,26.83,-67,34.35
0,27.2402,20.4301,20,10000,-68,34.35
1,27.5963,28.7738,-72.55,26.88,-68,34.35
0,27.2402,20.4301,20,10000,-69,34.35
1,27.5963,28.7738,-71.55,26.93,-69,34.35
0,27.2402,20.4301,20,10000,-70,34.35
1,27.5963,28.7738,-70.55,27,-70,34.35
0,27.2402,20.4301,20,10000,-71,42.96
1,27.5963,28.7738,-69.55,25.32,-71,42.96
0,27.2402,20.4301,20,10000,-72,42.96
1,27.5963,28.7738,-68.55,25.51,-72,42.96
0,27.2402,20.4301,20,10000,-73,42.96
1,27.5963,28.7738,-67.55,25.75,-73,42.96
0,27.2402,20.4301,20,10000,-74,42.96
1,27.5963,28.7738,-66.55,26.03,-74,42.96
0,27.2402,20.4301,20,10000,-75,42.96
1,27.5963,28.7738,-65.55,26.35,-75,42.96
0,27.2402,20.4301,20,10000,-76,56.55
1,27.5963,28.7738,-59.55,29.44,-76,56.55
0,27.2402,20.4301,20,10000,-77,59.4
1,27.5963,28.7738,-63.55,29.92,-77,59.4
0,27.2402,20.4301,20,10000,-78,59.4
1,27.5963,28.7738,-62.55,29.97,-78,59.4
0,27.2402,20.4301,20,10000,-79,59.4
1,27.5963,28.7738,-59.55,30.06,-79,59.4
0,27.2402,20.4301,20,10000,-80,50.6
1,27.5963,28.7738,-59.55,30.43,-80,50.6
0,27.2402,20.4301,20,10000,-81,50.6
1,27.5963,28.7738,-59.55,30.43,-81,50.6
0,27.2402,20.4301,20,10000,-82,50.6
1,27.5963,28.7738,-59.55,30.43,-82,50.6
0,31.3157,23.4867,20,10000,-62,87.04
1,27.3612,28.5161,-55.66,28.04,-62,87.04
0,31.3157,23.4867,20,10000,-63,87.04
1,27.3612,28.5161,-55.66,28.04,-63,87.04
0,31.3157,23.4867,20,10000,-64,87.04
1,27.3612,28.5161,-55.66,28.04,-64,87.04
0,31.3157,23.4867,20,10000,-65,87.04
1,27.3612,28.5161,-55.66,28.04,-65,87.04
0,31.3157,23.4867,20,10000,-66,87.04
1,27.3612,28.5161,-55.66,28.04,-66,87.04
0,31.3157,23.4867,20,10000,-67,87.04
1,27.3612,28.5161,-55.66,28.04,-67,87.04
0,31.3157,23.4867,20,10000,-68,87.04
1,27.3612,28.5161,-55.66,28.04,-68,87.04
0,31.3157,23.4867,20,10000,-69,87.04
1,27.3612,28.5161,-55.66,28.04,-69,87.04
0,31.3157,23.4867,20,10000,-70,87.04
1,27.3612,28.5161,-55.66,28.04,-70,87.04
0,31.3157,23.4867,20,10000,-71,86.79
1,27.3612,28.5161,-55.66,28.04,-71,86.79
0,31.3157,23.4867,20,10000,-72,86.18
1,27.3612,28.5161,-55.66,28.04,-72,86.18
0,31.3157,23.4867,20,10000,-73,86.18
1,27.3612,28.5161,-55.66,28.04,-73,86.18
0,31.3157,23.4867,20,10000,-74,86.84
1,27.3612,28.5161,-55.66,28.04,-74,86.84
0,31.3157,23.4867,20,10000,-75,86.84
1,27.3612,28.5161,-55.66,28.04,-75,86.84
0,31.3157,23.4867,20,10000,-76,86.84
1,27.3612,28.5161,-55.66,28.04,-76,86.84
0,31.3157,23.4867,20,10000,-77,86.84
1,27.3612,28.5161,-55.66,28.04,-77,86.84
0,31.3157,23.4867,20,10000,-78,86.84
1,27.3612,28.5161,-55.66,28.04,-78,86.84
0,31.3157,23.4867,20,10000,-79,86.84
1,27.3612,28.5161,-55.66,28.04,-79,86.84
0,31.3157,23.4867,20,10000,-80,86.84
1,27.3612,28.5161,-55.66,28.04,-80,86.84
0,31.3157,23.4867,20,10000,-81,86.84
1,27.3612,28.5161,-55.66,28.04,-81,86.84
0,31.3157,23.4867,20,10000,-82,86.84
1,27.3612,28.5161,-55.66,28.04,-82,86.84
0,57.4687,43.1015,20,10000,-62,31.81
1,52.5469,45.3626,-53.41,39,-62,31.81
0,57.4687,43.1015,20,10000,-63,31.81
1,52.5469,45.3626,-53.41,39,-63,31.81
0,57.4687,43.1015,20,10000,-64,31.92
1,52.5469,45.3626,-53.41,38.9,-64,31.92
0,57.4687,43.1015,20,10000,-65,33.84
1,52.5469,45.3626,-69.41,39.13,-65,33.84
0,57.4687,43.1015,20,10000,-66,33.84
1,52.5469,45.3626,-68.41,39.13,-66,33.84
0,57.4687,43.1015,20,10000,-67,28.48
1,52.5469,45.3626,-67.41,33.82,-67,28.48
0,57.4687,43.1015,20,10000,-68,40.75
1,52.5469,45.3626,-66.41,27.53,-68,40.75
0,57.4687,43.1015,20,10000,-69,40.75
1,52.5469,45.3626,-65.41,27.56,-69,40.75
0,57.4687,43.1015,20,10000,-70,46.29
1,52.5469,45.3626,-64.41,34.92,-70,46.29
0,57.4687,43.1015,20,10000,-71,50.24
1,52.5469,45.3626,-53.41,35.77,-71,50.24
0,57.4687,43.1015,20,10000,-72,50.24
1,52.5469,45.3626,-53.41,35.78,-72,50.24
0,57.4687,43.1015,20,10000,-73,50.91
1,52.5469,45.3626,-61.41,35.94,-73,50.91
0,57.4687,43.1015,20,10000,-74,37.9
1,52.5469,45.3626,-53.41,39.32,-74,37.9
0,57.4687,43.1015,20,10000,-75,37.9
1,52.5469,45.3626,-53.41,39.32,-75,37.9
0,57.4687,43.1015,20,10000,-76,37.9
1,52.5469,45.3626,-53.41,39.32,-76,37.9
0,57.4687,43.1015,20,10000,-77,37.9
1,52.5469,45.3626,-53.41,39.32,-77,37.9
0,57.4687,43.1015,20,10000,-78,37
1,52.5469,45.3626,-53.41,39.1,-78,37
0,57.4687,43.1015,20,10000,-79,37
1,52.5469,45.3626,-53.41,39.1,-79,37
0,57.4687,43.1015,20,10000,-80,37
1,52.5469,45.3626,-53.41,39.1,-80,37
0,57.4687,43.1015,20,10000,-81,37
1,52.5469,45.3626,-53.41,39.1,-81,37
0,57.4687,43.1015,20,10000,-82,37
1,52.5469,45.3626,-53.41,39.1,-82,37
0,3.9829,2.9872,20,10000,-62,27.22
1,4.8318,12.3236,-80.37,33.15,-62,27.22
0,3.9829,2.9872,20,10000,-63,27.35
1,4.8318,12.3236,-61.37,33.21,-63,27.35
0,3.9829,2.9872,20,10000,-64,26.73
1,4.8318,12.3236,-78.37,33.19,-64,26.73
0,3.9829,2.9872,20,10000,-65,30.58
1,4.8318,12.3236,-77.37,33.21,-65,30.58
0,3.9829,2.9872,20,10000,-66,30.58
1,4.8318,12.3236,-76.37,33.21,-66,30.58
0,3.9829,2.9872,20,10000,-67,30.58
1,4.8318,12.3236,-75.37,33.21,-67,30.58
0,3.9829,2.9872,20,10000,-68,30.58
1,4.8318,12.3236,-74.37,33.21,-68,30.58
0,3.9829,2.9872,20,10000,-69,30.58
1,4.8318,12.3236,-73.37,33.21,-69,30.58
0,3.9829,2.9872,20,10000,-70,29.74
1,4.8318,12.3236,-72.37,33.2,-70,29.74
0,3.9829,2.9872,20,10000,-71,29.74
1,4.8318,12.3236,-71.37,33.2,-71,29.74
0,3.9829,2.9872,20,10000,-72,30.11
1,4.8318,12.3236,-61.37,33.3,-72,30.11
0,3.9829,2.9872,20,10000,-73,30.11
1,4.8318,12.3236,-61.37,33.3,-73,30.11
0,3.9829,2.9872,20,10000,-74,28.18
1,4.8318,12.3236,-68.37,32.84,-74,28.18
0,3.9829,2.9872,20,10000,-75,26.67
1,4.8318,12.3236,-67.37,32.83,-75,26.67
0,3.9829,2.9872,20,10000,-76,26.67
1,4.8318,12.3236,-66.37,32.87,-76,26.67
0,3.9829,2.9872,20,10000,-77,31.9
1,4.8318,12.3236,-61.37,33.11,-77,31.9
0,3.9829,2.9872,20,10000,-78,31.35
1,4.8318,12.3236,-61.37,33.3,-78,31.35
0,3.9829,2.9872,20,10000,-79,31.35
1,4.8318,12.3236,-61.37,33.3,-79,31.35
0,3.9829,2.9872,20,10000,-80,31.35
1,4.8318,12.3236,-61.37,33.3,-80,31.35
0,3.9829,2.9872,20,10000,-81,31.35
1,4.8318,12.3236,-61.37,33.3,-81,31.35
0,3.9829,2.9872,20,10000,-82,31.35
1,4.8318,12.3236,-61.37,33.3,-82,31.35
0,78.0391,58.5293,20,10000,-62,28.16
1,80.0115,67.2163,-60.55,33.99,-62,28.16
0,78.0391,58.5293,20,10000,-63,28.16
1,80.0115,67.2163,-60.55,33.99,-63,28.16
0,78.0391,58.5293,20,10000,-64,28.16
1,80.0115,67.2163,-60.55,33.99,-64,28.16
0,78.0391,58.5293,20,10000,-65,28.16
1,80.0115,67.2163,-60.55,33.99,-65,28.16
0,78.0391,58.5293,20,10000,-66,28.16
1,80.0115,67.2163,-60.55,33.99,-66,28.16
0,78.0391,58.5293,20,10000,-67,28.16
1,80.0115,67.2163,-60.55,33.99,-67,28.16
0,78.0391,58.5293,20,10000,-68,28.16
1,80.0115,67.2163,-60.55,33.99,-68,28.16
0,78.0391,58.5293,20,10000,-69,26.83
1,80.0115,67.2163,-60.55,33.92,-69,26.83
0,78.0391,58.5293,20,10000,-70,29.94
1,80.0115,67.2163,-60.55,34.07,-70,29.94
0,78.0391,58.5293,20,10000,-71,31.55
1,80.0115,67.2163,-60.55,34.28,-71,31.55
0,78.0391,58.5293,20,10000,-72,31.55
1,80.0115,67.2163,-60.55,34.28,-72,31.55
0,78.0391,58.5293,20,10000,-73,31.55
1,80.0115,67.2163,-60.55,34.28,-73,31.55
0,78.0391,58.5293,20,10000,-74,31.55
1,80.0115,67.2163,-60.55,34.28,-74,31.55
0,78.0391,58.5293,20,10000,-75,31.82
1,80.0115,67.2163,-60.55,34.26,-75,31.82
0,78.0391,58.5293,20,10000,-76,31.82
1,80.0115,67.2163,-60.55,34.26,-76,31.82
0,78.0391,58.5293,20,10000,-77,31.82
1,80.0115,67.2163,-60.55,34.26,-77,31.82
0,78.0391,58.5293,20,10000,-78,31.82
1,80.0115,67.2163,-60.55,34.26,-78,31.82
0,78.0391,58.5293,20,10000,-79,31.82
1,80.0115,67.2163,-60.55,34.26,-79,31.82
0,78.0391,58.5293,20,10000,-80,31.82
1,80.0115,67.2163,-60.55,34.26,-80,31.82
0,78.0391,58.5293,20,10000,-81,31.52
1,80.0115,67.2163,-60.55,34.28,-81,31.52
0,78.0391,58.5293,20,10000,-82,31.52
1,80.0115,67.2163,-60.55,34.28,-82,31.52
0,24.5252,18.3939,20,10000,-62,1.51
1,16.0754,17.3187,-59.85,33,-62,1.51
0,24.5252,18.3939,20,10000,-63,1.34
1,16.0754,17.3187,-59.85,33.04,-63,1.34
0,24.5252,18.3939,20,10000,-64,1.85
1,16.0754,17.3187,-76.85,32.95,-64,1.85
0,24.5252,18.3939,20,10000,-65,1.34
1,16.0754,17.3187,-75.85,33.5,-65,1.34
0,24.5252,18.3939,20,10000,-66,1.14
1,16.0754,17.3187,-59.85,33.38,-66,1.14
0,24.5252,18.3939,20,10000,-67,1.14
1,16.0754,17.3187,-59.85,33.38,-67,1.14
0,24.5252,18.3939,20,10000,-68,1.44
1,16.0754,17.3187,-72.85,33.47,-68,1.44
0,24.5252,18.3939,20,10000,-69,3.19
1,16.0754,17.3187,-59.85,33.35,-69,3.19
0,24.5252,18.3939,20,10000,-70,1.41
1,16.0754,17.3187,-59.85,33.5,-70,1.41
0,24.5252,18.3939,20,10000,-71,3.02
1,16.0754,17.3187,-59.85,33.58,-71,3.02
0,24.5252,18.3939,20,10000,-72,3.02
1,16.0754,17.3187,-59.85,33.58,-72,3.02
0,24.5252,18.3939,20,10000,-73,3.02
1,16.0754,17.3187,-59.85,33.58,-73,3.02
0,24.5252,18.3939,20,10000,-74,3.02
1,16.0754,17.3187,-59.85,33.58,-74,3.02
0,24.5252,18.3939,20,10000,-75,3.02
1,16.0754,17.3187,-59.85,33.58,-75,3.02
0,24.5252,18.3939,20,10000,-76,2.49
1,16.0754,17.3187,-64.85,33.49,-76,2.49
0,24.5252,18.3939,20,10000,-77,3.26
1,16.0754,17.3187,-63.85,33.62,-77,3.26
0,24.5252,18.3939,20,10000,-78,2.99
1,16.0754,17.3187,-59.85,33.55,-78,2.99
0,24.5252,18.3939,20,10000,-79,1.65
1,16.0754,17.3187,-59.85,33.44,-79,1.65
0,24.5252,18.3939,20,10000,-80,1.65
1,16.0754,17.3187,-59.85,33.44,-80,1.65
0,24.5252,18.3939,20,10000,-81,1.65
1,16.0754,17.3187,-59.85,33.44,-81,1.65
0,24.5252,18.3939,20,10000,-82,1.65
1,16.0754,17.3187,-59.85,33.44,-82,1.65
0,69.9989,52.4991,20,10000,-62,59.44
1,75.9497,46.4683,-59.77,29.76,-62,59.44
0,69.9989,52.4991,20,10000,-63,59.44
1,75.9497,46.4683,-59.77,29.76,-63,59.44
0,69.9989,52.4991,20,10000,-64,59.44
1,75.9497,46.4683,-59.77,29.76,-64,59.44
0,69.9989,52.4991,20,10000,-65,59.44
1,75.9497,46.4683,-59.77,29.76,-65,59.44
0,69.9989,52.4991,20,10000,-66,59.44
1,75.9497,46.4683,-59.77,29.76,-66,59.44
0,69.9989,52.4991,20,10000,-67,59.44
1,75.9497,46.4683,-59.77,29.76,-67,59.44
0,69.9989,52.4991,20,10000,-68,59.44
1,75.9497,46.4683,-59.77,29.76,-68,59.44
0,69.9989,52.4991,20,10000,-69,59.44
1,75.9497,46.4683,-59.77,29.76,-69,59.44
0,69.9989,52.4991,20,10000,-70,59.44
1,75.9497,46.4683,-59.77,29.76,-70,59.44
0,69.9989,52.4991,20,10000,-71,59.44
1,75.9497,46.4683,-59.77,29.76,-71,59.44
0,69.9989,52.4991,20,10000,-72,59.44
1,75.9497,46.4683,-59.77,29.76,-72,59.44
0,69.9989,52.4991,20,10000,-73,59.44
1,75.9497,46.4683,-59.77,29.76,-73,59.44
0,69.9989,52.4991,20,10000,-74,59.44
1,75.9497,46.4683,-59.77,29.76,-74,59.44
0,69.9989,52.4991,20,10000,-75,59.44
1,75.9497,46.4683,-59.77,29.76,-75,59.44
0,69.9989,52.4991,20,10000,-76,59.44
1,75.9497,46.4683,-59.77,29.76,-76,59.44
0,69.9989,52.4991,20,10000,-77,59.44
1,75.9497,46.4683,-59.77,29.76,-77,59.44
0,69.9989,52.4991,20,10000,-78,59.44
1,75.9497,46.4683,-59.77,29.76,-78,59.44
0,69.9989,52.4991,20,10000,-79,59.44
1,75.9497,46.4683,-59.77,29.76,-79,59.44
0,69.9989,52.4991,20,10000,-80,59.44
1,75.9497,46.4683,-59.77,29.76,-80,59.44
0,69.9989,52.4991,20,10000,-81,59.44
1,75.9497,46.4683,-59.77,29.76,-81,59.44
0,69.9989,52.4991,20,10000,-82,59.44
1,75.9497,46.4683,-59.77,29.76,-82,59.44
0,55.676,41.757,20,10000,-62,27.3
1,57.1,33.337,-78.89,31.98,-62,27.3
0,55.676,41.757,20,10000,-63,27
1,57.1,33.337,-59.89,32.01,-63,27
0,55.676,41.757,20,10000,-64,26.98
1,57.1,33.337,-76.89,32.45,-64,26.98
0,55.676,41.757,20,10000,-65,29.64
1,57.1,33.337,-59.89,32.4,-65,29.64
0,55.676,41.757,20,10000,-66,29.64
1,57.1,33.337,-59.89,32.4,-66,29.64
0,55.676,41.757,20,10000,-67,29.64
1,57.1,33.337,-59.89,32.4,-67,29.64
0,55.676,41.757,20,10000,-68,29.64
1,57.1,33.337,-59.89,32.4,-68,29.64
0,55.676,41.757,20,10000,-69,29.64
1,57.1,33.337,-59.89,32.4,-69,29.64
0,55.676,41.757,20,10000,-70,29.64
1,57.1,33.337,-59.89,32.4,-70,29.64
0,55.676,41.757,20,10000,-71,29.64
1,57.1,33.337,-59.89,32.4,-71,29.64
0,55.676,41.757,20,10000,-72,29.64
1,57.1,33.337,-59.89,32.4,-72,29.64
0,55.676,41.757,20,10000,-73,29.64
1,57.1,33.337,-59.89,32.4,-73,29.64
0,55.676,41.757,20,10000,-74,29.64
1,57.1,33.337,-59.89,32.4,-74,29.64
0,55.676,41.757,20,10000,-75,29.64
1,57.1,33.337,-59.89,32.4,-75,29.64
0,55.676,41.757,20,10000,-76,29.64
1,57.1,33.337,-59.89,32.4,-76,29.64
0,55.676,41.757,20,10000,-77,29.64
1,57.1,33.337,-59.89,32.4,-77,29.64
0,55.676,41.757,20,10000,-78,29.64
1,57.1,33.337,-59.89,32.4,-78,29.64
0,55.676,41.757,20,10000,-79,29.64
1,57.1,33.337,-59.89,32.4,-79,29.64
0,55.676,41.757,20,10000,-80,29.64
1,57.1,33.337,-59.89,32.4,-80,29.64
0,55.676,41.757,20,10000,-81,29.64
1,57.1,33.337,-59.89,32.4,-81,29.64
0,55.676,41.757,20,10000,-82,29.64
1,57.1,33.337,-59.89,32.4,-82,29.64
0,36.912,27.684,20,10000,-62,59.44
1,30.7525,20.0725,-62.08,32.88,-62,59.44
0,36.912,27.684,20,10000,-63,59.44
1,30.7525,20.0725,-62.08,32.88,-63,59.44
0,36.912,27.684,20,10000,-64,59.44
1,30.7525,20.0725,-62.08,32.88,-64,59.44
0,36.912,27.684,20,10000,-65,59.44
1,30.7525,20.0725,-62.08,32.88,-65,59.44
0,36.912,27.684,20,10000,-66,59.44
1,30.7525,20.0725,-62.08,32.88,-66,59.44
0,36.912,27.684,20,10000,-67,59.44
1,30.7525,20.0725,-62.08,32.88,-67,59.44
0,36.912,27.684,20,10000,-68,59.44
1,30.7525,20.0725,-62.08,32.88,-68,59.44
0,36.912,27.684,20,10000,-69,59.44
1,30.7525,20.0725,-62.08,32.88,-69,59.44
0,36.912,27.684,20,10000,-70,59.44
1,30.7525,20.0725,-62.08,32.88,-70,59.44
0,36.912,27.684,20,10000,-71,59.44
1,30.7525,20.0725,-62.08,32.88,-71,59.44
0,36.912,27.684,20,10000,-72,59.44
1,30.7525,20.0725,-62.08,32.88,-72,59.44
0,36.912,27.684,20,10000,-73,59.44
1,30.7525,20.0725,-62.08,32.88,-73,59.44
0,36.912,27.684,20,10000,-74,59.44
1,30.7525,20.0725,-62.08,32.88,-74,59.44
0,36.912,27.684,20,10000,-75,59.44
1,30.7525,20.0725,-62.08,32.88,-75,59.44
0,36.912,27.684,20,10000,-76,59.44
1,30.7525,20.0725,-62.08,32.88,-76,59.44
0,36.912,27.684,20,10000,-77,59.44
1,30.7525,20.0725,-62.08,32.88,-77,59.44
0,36.912,27.684,20,10000,-78,59.44
1,30.7525,20.0725,-62.08,32.88,-78,59.44
0,36.912,27.684,20,10000,-79,59.44
1,30.7525,20.0725,-62.08,32.88,-79,59.44
0,36.912,27.684,20,10000,-80,59.44
1,30.7525,20.0725,-62.08,32.88,-80,59.44
0,36.912,27.684,20,10000,-81,59.44
1,30.7525,20.0725,-62.08,32.88,-81,59.44
0,36.912,27.684,20,10000,-82,59.44
1,30.7525,20.0725,-62.08,32.88,-82,59.44
0,54.9473,41.2105,20,10000,-62,18.85
1,48.5761,34.2659,-80.45,25.3,-62,18.85
0,54.9473,41.2105,20,10000,-63,18.48
1,48.5761,34.2659,-79.45,24.57,-63,18.48
0,54.9473,41.2105,20,10000,-64,18.48
1,48.5761,34.2659,-78.45,24.57,-64,18.48
0,54.9473,41.2105,20,10000,-65,18.55
1,48.5761,34.2659,-77.45,24.4,-65,18.55
0,54.9473,41.2105,20,10000,-66,15.69
1,48.5761,34.2659,-76.45,23.5,-66,15.69
0,54.9473,41.2105,20,10000,-67,15.13
1,48.5761,34.2659,-75.45,22.47,-67,15.13
0,54.9473,41.2105,20,10000,-68,15.68
1,48.5761,34.2659,-74.45,22.27,-68,15.68
0,54.9473,41.2105,20,10000,-69,17.26
1,48.5761,34.2659,-73.45,22.15,-69,17.26
0,54.9473,41.2105,20,10000,-70,17.64
1,48.5761,34.2659,-61.45,21.93,-70,17.64
0,54.9473,41.2105,20,10000,-71,16.68
1,48.5761,34.2659,-71.45,19.75,-71,16.68
0,54.9473,41.2105,20,10000,-72,27.71
1,48.5761,34.2659,-61.45,18.16,-72,27.71
0,54.9473,41.2105,20,10000,-73,37.9
1,48.5761,34.2659,-69.45,16.71,-73,37.9
0,54.9473,41.2105,20,10000,-74,37.9
1,48.5761,34.2659,-68.45,17.48,-74,37.9
0,54.9473,41.2105,20,10000,-75,37.98
1,48.5761,34.2659,-67.45,18.22,-75,37.98
0,54.9473,41.2105,20,10000,-76,28.74
1,48.5761,34.2659,-66.45,21,-76,28.74
0,54.9473,41.2105,20,10000,-77,28.74
1,48.5761,34.2659,-65.45,21.46,-77,28.74
0,54.9473,41.2105,20,10000,-78,27.18
1,48.5761,34.2659,-61.45,23.48,-78,27.18
0,54.9473,41.2105,20,10000,-79,27.92
1,48.5761,34.2659,-61.45,24.03,-79,27.92
0,54.9473,41.2105,20,10000,-80,27.12
1,48.5761,34.2659,-61.45,24.12,-80,27.12
